Mom's_age	#babys@109	#babys@108	#babys@107
under15	0	0	0
15yr	0	0	2
16yr	1	0	0
17yr	2	5	6
18yr	2	12	12
19yr	10	13	10
20yr	12	24	20
21yr	13	32	34
22yr	26	53	43
23yr	37	77	57
24yr	40	92	78
25yr	41	100	84
26yr	49	112	111
27yr	62	142	164
28yr	89	188	244
29yr	122	225	243
30yr	129	249	251
31yr	134	272	258
32yr	145	299	292
33yr	118	295	337
34yr	140	304	332
35yr	164	297	325
36yr	129	282	305
37yr	115	245	239
38yr	85	200	201
39yr	88	134	149
40yr	64	132	109
41yr	34	65	69
42yr	15	52	35
43yr	11	30	21
44yr	11	12	10
45yr	5	5	7
46yr	2	2	6
47yr	0	2	1
48yr	3	1	1
49yr	2	2	2
50yr	0	3	0
