"name","Origin","Year","Total"
"Australia","Afghanistan",1999,609
"Austria","Afghanistan",1999,2209
"Belgium","Afghanistan",1999,401
"Bulgaria","Afghanistan",1999,277
"Canada","Afghanistan",1999,539
"Czech Republic","Afghanistan",1999,2312
"Denmark","Afghanistan",1999,533
"Finland","Afghanistan",1999,24
"France","Afghanistan",1999,163
"Germany","Afghanistan",1999,4500
"Greece","Afghanistan",1999,116
"Hungary","Afghanistan",1999,2238
"Ireland","Afghanistan",1999,13
"Luxembourg","Afghanistan",1999,6
"Netherlands","Afghanistan",1999,4400
"Norway","Afghanistan",1999,172
"Poland","Afghanistan",1999,551
"Romania","Afghanistan",1999,292
"Slovakia","Afghanistan",1999,643
"Slovenia","Afghanistan",1999,4
"Spain","Afghanistan",1999,28
"Sweden","Afghanistan",1999,351
"Switzerland","Afghanistan",1999,359
"Turkey","Afghanistan",1999,171
"United Kingdom","Afghanistan",1999,3985
"United States","Afghanistan",1999,157
"Australia","Afghanistan",2000,1312
"Austria","Afghanistan",2000,4205
"Belgium","Afghanistan",2000,861
"Bulgaria","Afghanistan",2000,675
"Canada","Afghanistan",2000,471
"Czech Republic","Afghanistan",2000,1117
"Denmark","Afghanistan",2000,1328
"Finland","Afghanistan",2000,31
"France","Afghanistan",2000,240
"Germany","Afghanistan",2000,5399
"Hungary","Afghanistan",2000,2185
"Ireland","Afghanistan",2000,6
"Luxembourg","Afghanistan",2000,14
"Netherlands","Afghanistan",2000,5055
"New Zealand","Afghanistan",2000,24
"Norway","Afghanistan",2000,326
"Poland","Afghanistan",2000,288
"Portugal","Afghanistan",2000,4
"Romania","Afghanistan",2000,282
"Slovakia","Afghanistan",2000,624
"Slovenia","Afghanistan",2000,247
"Spain","Afghanistan",2000,37
"Sweden","Afghanistan",2000,374
"Switzerland","Afghanistan",2000,396
"Turkey","Afghanistan",2000,560
"United Kingdom","Afghanistan",2000,5220
"United States","Afghanistan",2000,328
"Australia","Afghanistan",2001,2161
"Austria","Afghanistan",2001,12957
"Belgium","Afghanistan",2001,504
"Bulgaria","Afghanistan",2001,1081
"Canada","Afghanistan",2001,429
"Cyprus","Afghanistan",2001,8
"Czech Republic","Afghanistan",2001,356
"Denmark","Afghanistan",2001,2667
"Finland","Afghanistan",2001,25
"France","Afghanistan",2001,269
"Germany","Afghanistan",2001,5853
"Greece","Afghanistan",2001,1459
"Hungary","Afghanistan",2001,4311
"Iceland","Afghanistan",2001,1
"Ireland","Afghanistan",2001,27
"Luxembourg","Afghanistan",2001,9
"Netherlands","Afghanistan",2001,3614
"New Zealand","Afghanistan",2001,15
"Norway","Afghanistan",2001,603
"Poland","Afghanistan",2001,422
"Portugal","Afghanistan",2001,19
"South Korea","Afghanistan",2001,3
"Romania","Afghanistan",2001,782
"Slovakia","Afghanistan",2001,4315
"Slovenia","Afghanistan",2001,66
"Spain","Afghanistan",2001,42
"Sweden","Afghanistan",2001,593
"Switzerland","Afghanistan",2001,452
"Turkey","Afghanistan",2001,781
"United Kingdom","Afghanistan",2001,8920
"United States","Afghanistan",2001,459
"Australia","Afghanistan",2002,60
"Austria","Afghanistan",2002,4322
"Belgium","Afghanistan",2002,326
"Bulgaria","Afghanistan",2002,864
"Canada","Afghanistan",2002,88
"Cyprus","Afghanistan",2002,10
"Czech Republic","Afghanistan",2002,26
"Denmark","Afghanistan",2002,1132
"Finland","Afghanistan",2002,25
"France","Afghanistan",2002,259
"Germany","Afghanistan",2002,2779
"Greece","Afghanistan",2002,1238
"Hungary","Afghanistan",2002,2160
"Ireland","Afghanistan",2002,7
"Japan","Afghanistan",2002,6
"Netherlands","Afghanistan",2002,1077
"New Zealand","Afghanistan",2002,4
"Norway","Afghanistan",2002,786
"Poland","Afghanistan",2002,560
"Portugal","Afghanistan",2002,7
"South Korea","Afghanistan",2002,1
"Romania","Afghanistan",2002,35
"Slovakia","Afghanistan",2002,1669
"Slovenia","Afghanistan",2002,3
"Spain","Afghanistan",2002,16
"Sweden","Afghanistan",2002,527
"Switzerland","Afghanistan",2002,226
"Turkey","Afghanistan",2002,103
"United Kingdom","Afghanistan",2002,8064
"United States","Afghanistan",2002,118
"Australia","Afghanistan",2003,31
"Austria","Afghanistan",2003,2359
"Belgium","Afghanistan",2003,329
"Bulgaria","Afghanistan",2003,525
"Canada","Afghanistan",2003,121
"Cyprus","Afghanistan",2003,52
"Czech Republic","Afghanistan",2003,50
"Denmark","Afghanistan",2003,653
"Finland","Afghanistan",2003,51
"France","Afghanistan",2003,346
"Germany","Afghanistan",2003,1467
"Greece","Afghanistan",2003,593
"Hungary","Afghanistan",2003,469
"Iceland","Afghanistan",2003,3
"Ireland","Afghanistan",2003,24
"Japan","Afghanistan",2003,3
"Luxembourg","Afghanistan",2003,2
"Netherlands","Afghanistan",2003,492
"New Zealand","Afghanistan",2003,4
"Norway","Afghanistan",2003,2050
"Poland","Afghanistan",2003,251
"Romania","Afghanistan",2003,16
"Serbia","Afghanistan",2003,26
"Slovakia","Afghanistan",2003,629
"Slovenia","Afghanistan",2003,2
"Spain","Afghanistan",2003,10
"Sweden","Afghanistan",2003,811
"Switzerland","Afghanistan",2003,190
"Turkey","Afghanistan",2003,101
"United Kingdom","Afghanistan",2003,2591
"United States","Afghanistan",2003,57
"Australia","Afghanistan",2004,112
"Austria","Afghanistan",2004,757
"Belgium","Afghanistan",2004,287
"Bulgaria","Afghanistan",2004,426
"Canada","Afghanistan",2004,128
"Cyprus","Afghanistan",2004,80
"Czech Republic","Afghanistan",2004,15
"Denmark","Afghanistan",2004,285
"Finland","Afghanistan",2004,164
"France","Afghanistan",2004,164
"Germany","Afghanistan",2004,912
"Greece","Afghanistan",2004,382
"Hungary","Afghanistan",2004,38
"Iceland","Afghanistan",2004,2
"Ireland","Afghanistan",2004,106
"Lithuania","Afghanistan",2004,8
"Luxembourg","Afghanistan",2004,6
"Netherlands","Afghanistan",2004,689
"Norway","Afghanistan",2004,1059
"Poland","Afghanistan",2004,57
"South Korea","Afghanistan",2004,1
"Romania","Afghanistan",2004,1
"Slovakia","Afghanistan",2004,396
"Slovenia","Afghanistan",2004,4
"Spain","Afghanistan",2004,14
"Sweden","Afghanistan",2004,903
"Switzerland","Afghanistan",2004,206
"Turkey","Afghanistan",2004,353
"United Kingdom","Afghanistan",2004,1605
"United States","Afghanistan",2004,39
"Australia","Afghanistan",2005,29
"Austria","Afghanistan",2005,928
"Belgium","Afghanistan",2005,253
"Bulgaria","Afghanistan",2005,385
"Canada","Afghanistan",2005,238
"Cyprus","Afghanistan",2005,53
"Czech Republic","Afghanistan",2005,2
